source,date,headline,entities
standard,2015-01-16,Uhuru calls for strong ties between Kenya Egyp,"uhuru, kenya, egypt"
standard,2015-01-17,Uhuru meets IEBC chiefs emphasises on implementation of reforms,"uhuru, iebc"
standard,2015-01-17,"Uhuru, Ruto parties prepare for Kajiado face-off","kajiado, uhuru, ruto"
standard,2015-01-18,Resign Uhuru and Ruto told over  party,"ruto, uhuru"
standard,2015-01-18,Uhuruto secretly form  political party,"uhuru, ruto"
standard,2015-01-20,ODM wants Uhuru to apologise over Langata school inciden,"odm, uhuru, langata school"
business_daily,2015-01-21,Uhuru faults Ngilu and Swazuri on Langata school row,"uhuru, ngilu, swazuri, langata school"
standard,2015-01-21,Accusations Uhuru faced at ICC,"uhuru, icc"
standard,2015-01-21,The meetings Bensouda claims Uhuru held to plan PEV attacks,"bensouda, uhuru"
standard,2015-01-21,Uhuru leads outrage against Langata school tear-gassing,"uhuru, langata school"
standard,2015-01-21,Court denies Uhuru right to respond to Bensoudas evidence,"uhuru, bensouda"
standard,2015-01-21,Former assistant minister wants Uhuru to apologise over teargassing of childre,"uhuru, calist mwatela"
standard,2015-01-22,Uhuru Nkaissery demand name of Langata school land grabber,"uhuru, nkaissery, langata school"
standard,2015-01-22,'ICC gave me Sh2m to testify against Uhuru',"icc, uhuru"
standard,2015-01-23,Uhuru orders Ngilu to issue titles to schools,"uhuru, ngilu"
standard,2015-01-24,Uhuru wants locals given priority in ongoing Standard Gauge Railway projec,"uhuru, sgr"
standard,2015-01-25,Uhuru warns Makueni leaders over persistent wrangles,"uhuru, makueni"
standard,2015-01-27,Uhuru to hand over EAC seat to Kikwete,"uhuru, kikwete, eac"
standard,2015-01-27,Uhuru takes on Keter as MP risks losing seat over insults,"uhuru, keter"
daily_nation,2015-01-29,KISERO: Uhuru must act fast to save tourism as it can go down with the economy,"kisero, uhuru"
daily_nation,2015-01-29,NJOGU: Release of Uhuru dossier was an abuse of discretion by ICC,"njogu, uhuru, icc"
standard,2015-01-29,Uhuru team cracks whip: Five MPs in cells over Narok riots,"uhuru, narok"
standard,2015-01-30,Uhuru heads for AU summit in Addis Ababa,"uhuru, au, ethiopia"
business_daily,2015-02-01,How Uhuru brokered Sh5m Mumias bailou,"uhuru, mumias"
business_daily,2015-02-01,Lamu port plans lift Uhuru to high-profile AU agency,"uhuru,lamu, au"
standard,2015-02-01,President Kenyatta witnesses warring factions in South Sudan Sign peace pac,"kenyatta, south sudan, uhuru"
standard,2015-02-01,"Unravelling the riddle of Uhuru, Ruto  party JAP","uhuru, ruto, jubilee"
standard,2015-02-09,PNU seeks over Sh35m from Uhurus TNA,"pnu, uhuru, tna"
standard,2015-02-19,Uhuru woos World Bank for more funding,"uhuru, world bank"
standard,2015-02-23,Uhuru's party moves to calm Ruto supporters,"uhuru, ruto"
standard,2015-02-24,Uhuru visits Algeria to meet President Abdelaziz Bouteflika,"uhuru, algeria, abdelaziz bouteflika"
standard,2015-02-25,House team endorses Uhuru TSC nominees,"uhuru, tsc"
standard,2015-03-01,Kiraitu Kindiki rivalry displayed in Uhurus tour,"kiraitu, kindiki, uhuru"
standard,2015-03-01,Uhurus Meru visit brings town to a standstill,"uhuru, kenyattas, meru"
standard,2015-03-02,Uhuru campaigns for JAP candidate in Kajiado Central,"uhuru, jubilee, kajiado"
standard,2015-03-05,Uhuru's signature stands between Boinett and post of Inspector General of Police,"uhuru, boinnet, ig"
standard,2015-03-07,Uhuru in Kigali for Infrastructure Summi,"uhuru, kigali, infrastructure summit"
standard,2015-03-11,"CORD back in Kajiado Central after Uhuru, Ruto visi","cord, kajiado, uhuru, ruto"
standard,2015-03-13,Hit the gym man Ruto tells President Kenyatta,"ruto, uhuru"
standard,2015-03-14,Big win for Uhuru as ICC formally closes case,"uhuru, icc"
standard,2015-03-15,Uhurus tough choices in Karangi successio,"karangi, uhuru"
standard,2015-03-15,Mama Kayai cries out to Uhuru and Ruto over Mzee Ojwangs ailmen,"mama kayai, uhuru, mzee ojwang"
standard,2015-03-15,Uhuru secures major funding as Kenya Japan vow to deepen ties,"uhuru, kenya, japan"
business_daily,2015-03-17,Deploy KDF to Mandera Uhuru urged,"kdf, mandera, uhuru"
standard,2015-03-17,I will trounce Uhuru in 217 says Wetangula,"uhuru, wetangula"
standard,2015-03-18,Bensouda tried to corner Uhuru claims lawyer,"bensouda, uhuru"
standard,2015-03-20,How 'Thika widower' conned Uhuru and Governor Kabago,"thika, uhuru, kabogo"
standard,2015-03-22,Uhuru congratulates Namibias  leader at colourful swearing in fete,"uhuru, namibia"
standard,2015-03-25,Uhuru to address special Parliament sitting on Thursday,"uhuru, parliament"
standard,2015-03-25,Raila urges Uhuru to facilitate conducive business environment for investments,"raila, uhuru"
standard,2015-03-26,State House distances Uhuru's delegation from Japan sex saga,"state house, uhuru, japan"
standard,2015-03-26,Nkaisserys successor Memusi lambasts Uhuru over Jubilee loss in Kajiado Centrals mini-polls,"uhuru, jubilee, kajiado, memusi"
standard,2015-03-27,NCCK urges Uhuru to sack those implicated in graf,"uhuru, ncck"
standard,2015-03-30,Uhuru defends Ruto over ICC as Ngilu Kambi ou,"uhuru, icc, ngilu, kambi"
standard,2015-03-30,"Long Uhuru, Ruto meeting that led to disclosure of graft probe lis","uhuru, ruto"
business_daily,2015-03-31,Uhuru threatens to kill Sh8bn British Army deal,"uhuru, uk, army"
standard,2015-03-31,Some EACC officials unaware of Uhuru list as Koskei turned away,"eacc, uhuru, koskei, eacc"
standard,2015-03-31,Uhuru announces Obamas July visit to Kenya,"uhuru, obama, kenya"
business_daily,2015-04-01,Sonko Mwakwere in Uhurus list of corrupt State officers,"sonko, mwakwere, uhuru"
standard,2015-04-01,Kenya MPs' bid to block debate on Uhuru speech thrown ou,"kenya, uhuru"
standard,2015-04-01,Does Uhuru need Blair's 'wise counsel'?,"uhuru, blair"
standard,2015-04-01,Okemo turns down Uhuru job offer at Kenya Seed Company,"uhuru, kenya seed company, okemo"
standard,2015-04-01,Uhuru's aide hits back at Raila over graf,"uhuru, raila"
standard,2015-04-02,Uhuru asks MPs to cut ties with ICC,"uhuru, icc"
standard,2015-04-03,I invited Obama to Kenya not Uhuru  Maendeleo ya Wanaume chairman Nderitu Njoka,"obama, kenya, uhuru, maendeleo ya wanaume, nderitu njoka"
business_daily,2015-04-04,Uhuru aide worked on EACC corruption dossier,"uhuru, eacc"
standard,2015-04-07,Uhuru's IGAD envoy on Somalia asks the world to help Kenya 'crush national Shabaab',"uhuru, igad, somalia, kenya, alshabaab"
business_daily,2015-04-08,Uhuru to receive CBK governor list next week as s star,"uhuru, cbk"
standard,2015-04-08,IPOA to challenge Uhurus directive on police recruits,"ipoa, uhuru"
standard,2015-04-09,AG: Uhuru's directive on police recruits will follow consultations and the law,"uhuru, ag"
standard,2015-04-09,Ngilu invokes Uhurus name in session with graft detectives,"uhuru, ngilu"
business_daily,2015-04-10,Kimemia links ouster to power struggles in Uhuru governmen,"kimemia, uhuru"
standard,2015-04-12,Drama at burial of Garissa victim as mourners reject Uhurus condolence message,"garissa, uhuru"
business_daily,2015-04-13,Uhuru orders Foreign Affairs office shift to suit land,"uhuru, foreign affairs"
standard,2015-04-15,Leaders' expectations high as Uhuru plans Kisumu maiden visi,"uhuru, kisumu"
standard,2015-04-15,Uhuru told to unite MP speaker,"uhuru, mp, speaker"
standard,2015-04-17,Mt Kenya politicians jostle for a piece of Uhuru's JAP,"mt. kenya, uhuru, jubilee"
business_daily,2015-04-18,Gen Karangi retires Uhuru shakes up governmen,"karangi, uhuru"
standard,2015-04-18,Uhuru appoints Gen Samson Mwathethe as Kenya's Chief of Defence Forces,"uhuru, gen samson, kdf"
standard,2015-04-20,Resist terrorists bid to divide us Uhuru tells Africa,"uhuru, africa"
standard,2015-04-22,"Uhuru, Raila full of praise for devolutio","uhuru, raila"
standard,2015-04-22,Raila to Uhuru: Country bleeding under insecurity,"raila, uhuru"
standard,2015-04-23,Terror suspect sneaks into Uhuru's Gatundu residence,"uhuru, gatundu"
business_daily,2015-04-24,Uhurus chief of staff to face EACC in Telkom sale probe,"uhuru, chief of staff, eacc, telkom, joseph kinyua"
business_daily,2015-04-24,Uhuru suspends Matemu and Keino,"uhuru, matemu, keino"
standard,2015-04-24,Uhuru appoints tribunal to probe suspended EACC bosses,"uhuru, eacc"
standard,2015-04-26,Formation of JAP short-sighted and could hurt Uhurus administratio,"uhuru, jubilee"
standard,2015-04-28,Amina apologises over Uhurus cancelled US tri,"amina, uhuru, usa"
standard,2015-04-29,Uhuru moves to Sagana Lodge after bungled US tri,"uhuru, sagana lodge, usa"
standard,2015-04-29,Uhuru appoints singer Jaguar as NACADA board member,"uhuru, jaguar, nacada"
standard,2015-05-01,Uhuru rewards workers hits at Raila,"uhuru, raila"
standard,2015-05-01,WildDirect officials thank Uhuru for appointing Dr Richard Leakey,"wilddirect, uhuru, richard leakey"
standard,2015-05-05,Uhuru discusses Obama visit security investment with Kerry,"uhuru, obama, kerry"
standard,2015-05-05,Uhuru return to Sagana Lodge raises talk of reshuffle,"uhuru, sagana lodge"
daily_nation,2015-05-06,Uhuru's Kisumu visi,"uhuru, kisumu"
standard,2015-05-06,"Female MPs seek Uhuru, Raila intervention on gender rule stalemate","uhuru, raila"
standard,2015-05-09,Uhuru calls for dialogue in Burundi,"uhuru, burundi"
standard,2015-05-09,Discontent over JAP as Uhuru tours Bome,"jubilee, uhuru, bomet"
standard,2015-05-09,Uhurus silence on Nadome Massacre baffling,"uhuru, nadome"
standard,2015-05-10,NCIC to probe Uhuru appointments for ethnic discrimi,"ncic, uhuru"
standard,2015-05-10,Battle of the Rutos: Why Uhuru's visit is more than a church even,"uhuru, ruto"
standard,2015-05-11,It's Ethiopia! State now breaks silence over aborted Uhuru tri,"ethiopia, uhuru"
standard,2015-05-11,Uhuru turns heat on media over Ruto woes,"uhuru, ruto"
standard,2015-05-14,judges sworn in at State House as Uhuru assures suppor,"state house, uhuru, judges"
standard,2015-05-17,Uhuru denies Raila Kalonzo pensio,"uhuru, raila, kalonzo"
standard,2015-05-17,Buses for Sh1m? Uhuru orders probe at KAA,"uhuru, kaa"
standard,2015-05-18,ODM MPs warn Uhuru over pre-condition for Raila's pensio,"odm, uhuru, raila"
standard,2015-05-18,Mt Kenya MPs now plotting for Uhuru re-electio,"mt. kenya, uhuru"
standard,2015-05-18,Why Uhuru was angry during terminal two opening at Jomo Kenyatta Interal Airpor,"uhuru, jkia"
standard,2015-05-25,Jubilee united Uhuru and Ruto declare after holy ceremony,"uhuru, ruto, jubilee"
standard,2015-05-25,Vehicles towed in Nyeri to pave way for Uhurus address,"nyeri, uhuru"
standard,2015-05-27,Uhuru inspects SGR progress promises title deeds for Taita Taveta residents,"uhuru, sgr, taita"
standard,2015-05-27,"13 helicopters escort Uhuru, Ruto to Taita Taveta","uhuru, ruto, taita"
standard,2015-05-28,"Uhuru, Ruto ratings drop further  survey shows","uhuru, ruto"
standard,2015-05-28,President Kenyatta stops to buy his own soda at a kibanda in Machakos,"uhuru, machakos"
standard,2015-05-29,CORD hits back at Uhuru over his remarks,"cord, uhuru"
standard,2015-05-29,"Is Uhuru, Ruto 'marriage' a scam ?","uhuru, ruto"
standard,2015-05-30,From Tom Mboya to Uhuru: 6 Great weddings that defined Kenyas true Madaraka,"mboya, uhuru"
standard,2015-05-30,Uhuru Jubilee regime should stop vicious attack on civil society in Kenya,"uhuru, jubilee, kenya"
standard,2015-06-01,Uhuru supporters want Raila out of 217 presidential race,"uhuru, raila"
standard,2015-06-01,Why Uhuru should respect former Prime Minister Raila,"uhuru, raila"
standard,2015-06-03,"It's not yet Uhuru, Raila tells Ngugi wa Thiongo","uhuru, raila, ngugi thiongo"
standard,2015-06-03,COTU lauds Uhuru's stand on graf,"uhuru, cotu"
business_daily,2015-06-04,"Uhuru, Ruto get Sh1.9bn more after bursting budge","uhuru, ruto"
standard,2015-06-05,Uhuru starts process to replace EACC commissioners,"uhuru, eacc"
standard,2015-06-05,"\""Mr President allow me to set fire on all the clinics that procure abortion\"" Babu Owino requests Uhuru","babu, uhuru"
standard,2015-06-05,Teary Machakos girl gets a personal invite to State House by President Kenyatta,"machakos, state house, uhuru"
business_daily,2015-06-06,IMF mission urges Uhuru government to spend less,"imf, uhuru"
standard,2015-06-07,Why Uhuru should sack cabinet secretary Davis Chirchir,"uhuru, chirchir"
business_daily,2015-06-09,Come back and build Kenya Uhuru urges author Ngugi,"kenya, uhuru, ngugi thiongo"
business_daily,2015-06-11,Raila s malice in Uhurus attempt to slash his retirement pay,"raila, uhuru"
standard,2015-06-11,Uhuru allies test waters over disbanding of IEBC,"uhuru, iebc"
business_daily,2015-06-13,Uhuru names panel to fill EACC commissioner posts,"uhuru, eacc"
standard,2015-06-13,EACCs Halakhe Waqo meets Uhuru asks for more time,"eacc, halakhe waqo, uhuru"
standard,2015-06-13,Uhurus first defeat in 215 as MPs reject Interior PS for Cabinet job,"uhuru, interior ministry"
standard,2015-06-13,Raila to Uhuru: I will not be blackmailed to quit,"raila, uhuru"
standard,2015-06-13,Uhuru disappointed by MPs decision to reject Monica Juma,"uhuru, monica juma"
standard,2015-06-14,Uhuru elected chair of African Peer Review Forum,"uhuru, africa peer review"
standard,2015-06-14,Uhuru backs Treasury on budget and regulations in  audit law,"uhuru, treasury"
standard,2015-06-14,Several avenues give Uhuru a way out in Monica Jumas case,"uhuru, monica juma"
business_daily,2015-06-15,Uhuru denies Ouko more powers in Bill,"uhuru, ouko"
standard,2015-06-17,Jubilee MPs dare Uhuru on Jumas failed nomi,"uhuru, monica juma"
business_daily,2015-06-18,House team now wants Uhuru to sack Juma as PS,"uhuru, monica juma"
standard,2015-06-18,Uhuru: We will not be intimidated by national Shabaab,"uhuru, alshabaab"
standard,2015-06-19,Do not favour any side in South Sudan Uhuru tells the world,"south sudan, uhuru"
standard,2015-06-19,Uhuru directs Nkaissery to review curfew in four counties,"uhuru, nkaissery"
standard,2015-06-20,Uhuru settles Mama Otonglo's hospital bill,"uhuru, mama otonglo"
standard,2015-06-20,Uhuru wont give in to hostile Jubilee MPs says Murathe,"uhuru, jubilee, murathe"
standard,2015-06-20,Opposition MPs promise Uhuru tough court battle for Raila Kalonzo pensions,"uhuru, raila, kalonzo"
standard,2015-06-20,Uhuru wins in denying Raila and Kalonzo pensio,"uhuru, raila, kalonzo"
standard,2015-06-21,Lusaka to host Uhuru as -Ford Kenya leader woos Western to Jubilee,"lusaka, uhuru, kenya, western, jubilee, ford kenya"
standard,2015-06-21,Raila dismisses Uhuru's war on graft terror,"raila, uhuru"
standard,2015-06-21,Daggers drawn in Jubilee as MPs target error-prone Uhuru advisers,"jubilee, uhuru"
standard,2015-06-22,"Jubilee MPs dispel unease claims assure Ruto, Uhuru of suppor","jubilee, ruto, uhuru"
business_daily,2015-06-23,Varsities to supply Uhurus Sh17 billion school laptops,"uhuru, laptop project"
standard,2015-06-23,Raila dares Uhuru over Rutos Weston Hotel,"raila, uhuru, ruto, weston hotel"
standard,2015-06-23,Uhurus 2-year loans surpass Kibakis last term deb,"uhuru, kibaki"
standard,2015-06-24,Central Kenya MPs call on Uhuru to protect Waiguru from Opposition's 'political vendetta',"kenya, uhuru, waiguru, central"
business_daily,2015-06-25,Uhuru calls for seizure of Mumias looters assets,"uhuru, mumias"
standard,2015-06-26,Why Uhuru wont suspend Waiguru over raging row,"uhuru, waiguru"
standard,2015-06-26,Will UhuRuto dance themselves lame?,"uhuru, ruto"
standard,2015-06-26,Bid to quash TJRC report linking Kenyatta to land grabbing flops,"uhuru, tjrc, kenyatta"
business_daily,2015-06-27,Uhuru defends Waiguru over NYS hack scam,"uhuru, waiguru, nys"
standard,2015-06-27,Uhuru becomes first president to attend Maasai cultural fete,"uhuru, maasai"
standard,2015-06-27,KAA cancels Sh11m-a-month airport bus lease that sparked Uhurus anger,"kaa, uhuru"
standard,2015-06-27,Uhuru appoints Njoroge  CBK governor,"uhuru, njoroge, cbk"
standard,2015-06-29,Uhurus plan to appoint  EACC commissioners faces legal hitch,"eacc, uhuru"
standard,2015-06-29,Raila accuses Uhuru of shielding Waiguru as raging corruption claims jolt Jubilee,"raila, uhuru, waiguru"
business_daily,2015-07-01,Uhuru orders crackdown on illicit brews in central Kenya,"uhuru, central, kenya"
standard,2015-07-01,Raila to Uhuru: Ive nothing personal against Waigur,"raila, uhuru, waiguru"
standard,2015-07-03,Uhuru breaks ground for Sh7b wind-power project Africa's bigges,"uhuru, africa"
daily_nation,2015-07-05,NDII: A deeper reflection on Uhurus war on graf,"ndii, uhuru"
standard,2015-07-05,Kalonzo slams Uhuru for shielding Waigur,"kalonzo, uhuru, waiguru"
business_daily,2015-07-08,EABL moves to quash Uhuru directive on alcohol crackdow,"eabl, uhuru"
standard,2015-07-08,MPs allied to Uhuru raise storm at CS Waiguru grilling,"uhuru, waiguru"
standard,2015-07-08,Uhurus Chief of Staff among those IEBC poll kits saga,"iebc, chief of staff, uhuru"
standard,2015-07-10,Expand AGOA benefits beyond textile Uhuru urges,"uhuru, agoa"
standard,2015-07-11,Suspicion in Jubilee marriage halts Uhurus plan to reorganise governmen,"jubilee, uhuru"
standard,2015-07-11,Uhuru commends military for selfless service,"uhuru, military"
standard,2015-07-14,Raila keeps all guessing on Uhuru List of Shame,"raila, uhuru"
standard,2015-07-14,Do not respond to verbal attacks by CORD Uhuru advised,"cord, uhuru"
standard,2015-07-14,Family television will not be the same without Mzee Ojwang- Uhuru pays tribute,"uhuru, mzee ojwang"
standard,2015-07-17,What Raila team civil society want Obama to engage Uhuru over,"raila, obama, uhuru"
daily_nation,2015-07-18,KENYATTA: Africa can win the war against cancer if all stakeholders joi,"africa, uhuru"
standard,2015-07-21,"Uhuru, Ruto plot to split Raila and Kalonzo","uhuru, ruto, raila, kalonzo"
standard,2015-07-25,Uhuru must rebuke Gatundu South MP for his frequent coarse remarks,"uhuru, gatundu"
standard,2015-07-25,Uhuru praises Tom Mboya at state banque,"uhuru, mboya"
daily_nation,2015-07-26,Uhuru jets back from Ethiopia summi,"uhuru, ethiopia"
standard,2015-08-06,Uhuru hits out at Cord over President Obama visit claims Opposition is petty,"uhuru, cord, obama"
standard,2015-08-06,Uhuru rejects MPs attempts to send top EACC officials home,"uhuru, eacc"
standard,2015-08-06,"Kenya's PEV victims want Uhuru, Muthaura probed afresh over their role in chaos","kenya, uhuru, muthaura"
standard,2015-08-06,President Kenyatta spoke for Africa in renouncing Obamas gay agenda,"uhuru, africa, obama"
daily_nation,2015-08-07,President Kenyatta Departs to Uganda for a state visi,"uhuru, uganda"
standard,2015-08-08,Uhuru was right in declining to assent to flawed EACC Bill,"uhuru, eacc"
business_daily,2015-08-10,"Western Mps,snub Uhuru call for talks on sugar","western, uhuru"
standard,2015-08-10,Jitters in Rift Valley as Ruto downplays calls to contest against Uhuru in 217,"rift valley, uhuru, ruto"
standard,2015-08-10,Uhuru: Regional integration key to EAC prosperity,"uhuru, eac"
daily_nation,2015-08-11,"What Uhuru, Museveni agreed - VERBATIM","uhuru, museveni"
daily_nation,2015-08-11,Uhuru tips Uganda and EAC on growth,"uhuru, uganda, eac"
daily_nation,2015-08-11,Uhuru urges E. Africa firms to be innovative,"uhuru, east africa"
standard,2015-08-11,Uhurus address to Ugandan Parliamen,"uhuru, uganda, parliament"
standard,2015-08-11,Uhuru chairs Kenya - UN Development meeting,"uhuru, kenya, un"
daily_nation,2015-08-12,Uhuru criticises Britains record,"uhuru, uk"
daily_nation,2015-08-12,Raila attacks Uhuru over Uganda deals,"raila, uhuru, uganda"
standard,2015-08-12,Uhurus sugar milk deal with Museveni stirs national storm,"museveni, uhuru"
standard,2015-08-12,CORD MPs hit back at Uhuru over criticism,"cord, uhuru"
standard,2015-08-12,"Uhuru, Museveni tell off opposition for attacks","uhuru, museveni"
standard,2015-08-13,Uhuru says Kenya has cooperated fully with ICC,"uhuru, kenya, icc"
daily_nation,2015-08-14,NCCK calls on Uhuru to declare corruption a national disaster,"uhuru, ncck"
daily_nation,2015-08-14,Uhuru hits back at Raila in sugar row,"uhuru, raila"
standard,2015-08-14,Why western Kenya MPs snubbed Uhurus sugar invitatio,"uhuru, western"
standard,2015-08-14,Uhuru confronts Raila over claim on sugar deal,"uhuru, raila"
standard,2015-08-14,Uhuru visits Kisumu in wake of Uganda deals,"uhuru, kisumu, uganda"
business_daily,2015-08-15,Why Uhuru has stuck to controversial deals with Museveni,"uhuru, museveni"
standard,2015-08-15,Uhuru takes Kisumu by storm,"uhuru, kisumu"
standard,2015-08-15,Establish talent academies Uhuru orders Education ministry,"uhuru, education ministry"
standard,2015-08-15,Song and dance in Kisumu as residents welcome Uhuru,"kisumu, uhuru"
standard,2015-08-15,MCAs issue a one week notice for Uhuru to cancel sugar deal with Uganda,"uhuru, uganda"
business_daily,2015-08-17,"SSEMOGERERE: How Uhuru, Museveni granted each other favours","ssemogerere, uhuru, museveni"
business_daily,2015-08-18,KIGONGO: Uhuru Uganda visit key to regional integratio,"kigongo, uhuru, uganda"
standard,2015-08-18,Raila team calls rallies over Uhurus Uganda sugar deal,"raila, uhuru, uganda"
standard,2015-08-18,Uhuru allows recruitment of 2 more youths to NYS-run programme,"uhuru, nys"
standard,2015-08-18,Uhuru moves to solve Kihiu Mwiri land saga,"uhuru, kihiu mwiri"
business_daily,2015-08-20,Uhuru ICC case referral raises sanctions risk,"uhuru, icc"
business_daily,2015-08-20,Uhuru says Kenya will work with ICC faults Wests control,"uhuru, kenya, icc, west"
standard,2015-08-20,ICC judges ordered to reconsider how Kenya cooperated in Uhurus case,"icc, kenya, uhuru"
standard,2015-08-20,ICC to reconsider Chief Prosecutor Bensouda's plea in Uhuru's case,"icc, bensouda, uhuru"
standard,2015-08-22,Push to open Kenyatta's grave as Uhuru marks 37th anniversary,"jomo, uhuru"
standard,2015-08-23,Uhuru increasingly likely to drop Ruto come 217,"uhuru, ruto"
daily_nation,2015-08-25,"Uhuru, Raila congratulate Kemboi Cheruiyo","uhuru, raila, kemboi, cheruiyot"
standard,2015-08-25,Uhuru travels to Uganda for a three-day State visi,"uhuru, uganda"
business_daily,2015-08-27,Uhuru to open renovated Kenya national Theatre,"uhuru, knt"
standard,2015-08-30,Uhurus magic word to Bett before the historic 4m hurdles triumph,"bett, uhuru"
standard,2015-09-02,CORD's Raila best bet against Uhuru in the 217 polls ODM MPs say,"cord, raila, uhuru, odm"
standard,2015-09-04,Uhuru's sacking of Deputy Inspector General of Police Kaindi triggers uproar in Oppositio,"uhuru, deputy ig, kaindi"
standard,2015-09-04,Ruto's worries are Uhuru's headache,"uhuru, ruto"
business_daily,2015-09-05,Uhuru promises Mombasa goodies to lift local growth,"uhuru, mombasa"
standard,2015-09-05,Coast JAP wars during Uhuru visi,"uhuru, coast, jubilee"
standard,2015-09-07,"MPs want Uhuru, Ruto to stop teachers strike","uhuru, ruto"
standard,2015-09-07,Uhuru to grace Kenya Week at World Milan Expo 215 in Italy,"uhuru, kenya, world milan expo, italy"
standard,2015-09-07,Why Uhuru is keen on African peer review,"uhuru, africa"
standard,2015-09-07,Uhuru and Ruto should move fast to quell rising disquiet over ICC,"uhuru, icc"
daily_nation,2015-09-10,Uhuru invites British PM to visit Kenya,"uhuru, uk, kenya, pm"
daily_nation,2015-09-10,Uhuru to launch Kenyas  interal brand as he visits Italy,"uhuru, italy"
daily_nation,2015-09-10,Uhuru arrives in Italy for official visit,"uhuru, italy"
daily_nation,2015-09-10,Uhuru declines to suspend Makueni County gov,"uhuru, makueni"
standard,2015-09-10,The Rift is astir: What next for UhuRuto?,"rift, uhuru, ruto"
standard,2015-09-10,Uhuru stops over Khartoum reiterates support for peace in Suda,"uhuru, khartoum, sudan"
daily_nation,2015-09-12,GAITHO: Uhuru must act on excesses before he can justify his stance,"gaitho, uhuru"
standard,2015-09-14,Raila to Uhuru: Pay teachers or qui,"raila, uhuru"
standard,2015-09-15,Kenyans on Twitter ask Uhuru to suspend Anne Waigur,"twitter, uhuru, waiguru"
standard,2015-09-16,I see the late Mzee Kioko's generous heart in Senator Sonko- Uhuru Consoles family,"mzee kioko, uhuru, sonko"
standard,2015-09-18,Raila: My problem with Uhuru's governmen,"raila, uhuru"
standard,2015-09-19,Jubilee now dares CORD to impeach Uhuru,"cord, uhuru, jubilee"
standard,2015-09-23,URP MPs tell Uhuru to sack Waiguru reinstate Koskei and Chirchir,"uhuru, waiguru, koskei, chirchir, urp"
standard,2015-09-24,CORD leaders accuse Uhuru of lying on wage bill,"cord, uhuru, cord"
business_daily,2015-09-25,Cameron warms to Uhuru in push for better ties with Kenya,"cameron, uhuru, kenya"
business_daily,2015-09-25,President Kenyatta holds bilateral talks with Sweden Latvia leaders,"uhuru, sweden, latvia"
standard,2015-09-25,Uhuru leaves for UN General Assembly summit in  York,"uhuru, un general assembly, usa"
standard,2015-09-27,President Kenyatta wins interal award for promoting ICT,"uhuru, ict"
standard,2015-09-27,Boost for Uhuru as leaders vow to embrace JAP spearhead voter registration drive,"uhuru, jubilee"
standard,2015-09-27,Would Rutos URP support the bid to impeach Uhuru?,"uhuru, ruto, urp"
standard,2015-09-27,Duale Mbadi face off in bid to send Uhuru home as House resumes,"duale, mbadi, uhuru"
standard,2015-09-29,Uhuru nad AU lobby states on push to have Ruto ICC case deferred,"uhuru, au, ruto, icc"
standard,2015-09-29,Why CORD wants Uhuru impeached,"cord, uhuru"
standard,2015-09-29,Kenya will lead fight for low-cost HIV medicine says President Kenyatta,"kenya, uhuru"
standard,2015-09-30,Motion to kick Uhuru out to benefit URP says CORD,"uhuru, urp, cord"
standard,2015-10-04,Muthama owes Uhuru and Waiguru an apology,"muthama, uhuru, waiguru"
standard,2015-10-04,Jubilee plots to scuttle Uhuru and Waiguru impeachment motions,"uhuru, waiguru"
daily_nation,2015-10-08,Present Africa positively Uhuru tells journalists,"africa, uhuru"
business_daily,2015-10-09,Uhuru pushes EAC for free movement of labour in blo,"uhuru, eacc"
standard,2015-10-09,Will UhuRuto weather raging ICC storm?,"icc, uhuru, ruto"
standard,2015-10-11,Uhuru must sack Waiguru to ease the pressure on him,"uhuru, waiguru"
standard,2015-10-13,Governor Munya: We will support Uhuru in 217 but won't join JAP,"munya, uhuru"
standard,2015-10-14,Ex-MP Cyrus Jirongo tells Uhuru to apologise to Kenyans over Ruto ICC case,"mp, cyrus jirongo, uhuru, ruto, icc"
standard,2015-10-17,Resign CORD leaders tell Uhuru over financial crisis,"uhuru, cord"
standard,2015-10-17,Uhuru was dying to swim in public beach - Mvita MP Shariff Nassir,"uhuru, shariff nassir, mvita, mp"
standard,2015-10-17,Should Uhuru worry about the Mugumo trees falling in Nyeri?,"uhuru, nyeri"
standard,2015-10-18,CORD calls for talks with the Uhuru over financial crisis,"cord, uhuru"
standard,2015-10-19,Jubilee CORD leaders tell Uhuru to address state of economy graf,"jubilee, cord, uhuru"
standard,2015-10-19,Former Harambee Stars players to Uhuru: Please pardon ex interal star on death row,"uhuru, harambee stars"
daily_nation,2015-10-20,Act to secure Ruto freedom Uhuru told,"uhuru, ruto"
standard,2015-10-20,"A country is doomed when its best leaders are Uhuru, Raila and Mudavadi","uhuru, raila, mudavadi"
business_daily,2015-10-21,Uhuru summons KRA boss as tax revenue shortage bites,"uhuru, kra"
daily_nation,2015-10-21,Uhuru has failed on economy says Raila,"uhuru, raila"
daily_nation,2015-10-21,Uhuru tells off the ICC,"uhuru, icc"
daily_nation,2015-10-21,Uhuru orders  audit of KRA staff,"uhuru, kra"
standard,2015-10-21,Uhuru tells off ICC judges on Ruto prayer rallies,"uhuru, icc, ruto"
standard,2015-10-21,CORD tells Uhuru to 'unfix' Ruto in the ICC case,"cord, uhuru, ruto, icc"
standard,2015-10-22,Rise up and save Kenya's sinking economy Raila challenges Uhuru,"kenya, raila, uhuru"
