source,date,headline,entities
daily_nation,2012-01-17,ONYANGO: Uhuru and Ruto the race is still ope,"onyango, uhuru, ruto"
daily_nation,2012-01-18,Uhuru and Ruto: ICC ruling will not stop us,"uhuru, ruto, icc"
daily_nation,2012-01-18,"Raila, Uhuru sued in IDP row","raila, uhuru, idps"
standard,2012-01-19,"Mutula: Ruto, Uhuru to end State House bid if ICC confirms charges","mutula, uhuru, state house, icc"
daily_nation,2012-01-22,OPANGA: What gives Uhuru and Ruto such confidence?,"opanga, uhuru, ruto"
standard,2012-01-22,"CIC boost for Uhuru, Ruto","cic, uhuru, ruto"
daily_nation,2012-01-23,Uhuru hunts for votes ahead of Hague ruling,"uhuru, icc"
standard,2012-01-23,"Experts: Judges verdict likely to favour Ruto, Uhurus popularity","ruto, uhuru"
daily_nation,2012-01-24,PNU faults ruling against Uhuru and Muthaura,"pnu, uhuru, muthaura"
daily_nation,2012-01-25,"Uhuru, Muthaura can remain in office AG","uhuru, muthaura, ag"
standard,2012-01-25,"Judge: Ocampos evidence against Uhuru, Muthaura unsustainable","judge kaul,uhuru, muthaura, ocampo"
daily_nation,2012-01-26,Judges: How Uhuru bankrolled violence,"uhuru, judges"
daily_nation,2012-01-26,"Group in court over Uhuru, Ruto seat bid","uhuru, ruto"
business_daily,2012-01-27,ICC charges hound Uhuru out of Treasury,"icc, uhuru, treasury"
standard,2012-01-27,"IDPs join bid to block Ruto, Uhuru from vying","idps, ruto, uhuru"
daily_nation,2012-01-29,ABDULLAHI:Uhuru:Quit &  to fight another day,"abdullahi, uhuru"
daily_nation,2012-01-29,LOUGHRAN: Uhuru for Scotland raises its head agai,"loughran, uhuru, scotland"
daily_nation,2012-01-30,"Uhuru, Ruto appeal on at The Hague","uhuru, ruto, icc"
daily_nation,2012-01-30,MBIUKI: Uhuru and Muthaura didnt have to quit jobs,"mbiuki, uhuru, muthaura"
standard,2012-01-30,"Uhuru, Ruto found unity after indictmen","uhuru, ruto"
daily_nation,2012-01-31,Uhuru hands over docket to Githae,"uhuru, githae"
daily_nation,2012-02-01,GAITHO: Uhuru will be a cross between an IDP and a squatter,"uhuru, idps, gaitho"
daily_nation,2012-02-02,OBBO: If Uhuru and Ruto run for president Kenya wins,"uhuru, kenya, ruto, obbo"
daily_nation,2012-02-03,"Court gags debate on Uhuru, Ruto bid for top sea","uhuru, ruto"
standard,2012-02-03,"Uhuru, Ruto dodge Kiraitu call for one party","uhuru, ruto, kiraitu"
standard,2012-02-05,"Uhuru, Ruto allies hit out at UK minister","uhuru, ruto, uk"
daily_nation,2012-02-06,Kenyatta agreement at heart of MRC rebellio,"uhuru, mrc"
standard,2012-02-07,"Mudavadi: I<U+00A1><U+00A6>m not Uhuru, Ruto projec","mudavadi, uhuru, ruto"
daily_nation,2012-02-17,VP left out of  Uhuru-Ruto line-u,"kalonzo, uhuru, ruto"
standard,2012-02-22,"Ruto, Uhuru 'reunite' with VP","uhuru, ruto, kalonzo"
daily_nation,2012-02-26,Uhuru lawyer draws fire for his attack on ICCs integrity,"uhuru, icc"
daily_nation,2012-03-04,ICC Uhuru and Ruto: The untold bitter truth,"icc, uhuru, ruto"
daily_nation,2012-03-04,Moi endorses Uhuru for top job,"uhuru, moi"
daily_nation,2012-03-05,Will it be Ruto-Uhuru or Uhuru-Ruto ticket?,"uhuru, ruto"
daily_nation,2012-03-07,Now Moi denies he endorsed Uhuru bid,"uhuru, moi"
daily_nation,2012-03-11,Uhuru and Ruto ought to be in jail says Raila,"uhuru, raila, ruto"
daily_nation,2012-03-12,"Uhuru, Ruto tell off Raila over remarks","uhuru, ruto, raila"
standard,2012-03-13,"Uhuru, Ruto fury over Raila talk","uhuru, ruto, raila"
standard,2012-03-17,(G7 rallies) Uhuru R...,"g7, uhuru"
daily_nation,2012-03-24,Postpone Hague cases Uhuru backers demand,"icc, uhuru"
daily_nation,2012-03-24,GAITHO: Will Uhuru go for broke and defy ICC?,"uhuru, icc, gaitho"
daily_nation,2012-03-25,You cant postpone Hague trials Uhuru men warned,"icc, uhuru"
